Binomial,Sex,VolumeUVS,VolumeVS,LociUVS,LociVS,MidpointLat,Temp,Precip,NPP,SolarRad,UVB,BodyMass,Dichro,ForestDep,FruitNect,Migratory,GroundNest,Territorial,CoexistSpp,MatingSys
Acrocephalus_palustris,F,0.000600069,0.00035136,61.9618218,48.82933827,56.77230218,68.88102742,618.0760668,4999.375192,135848.8601,1819.335447,276.915353,0,1,0,1,0,1,79.72582322,0
Acrocephalus_rufescens,M,0.000512785,0.00036567,55.98234988,43.53715942,1.163910984,242.1621686,1282.951332,6703.500116,203201.5943,5528.902054,1328.145313,0,0,0,0,0,1,161.3635347,NA
Acrocephalus_rufescens,F,0.000238181,0.000245461,50.95497757,40.8245527,1.163910984,242.1621686,1282.951332,6703.500116,203201.5943,5528.902054,1328.145313,0,0,0,0,0,1,161.3635347,NA
Acrocephalus_schoenobaenus,M,0.000649547,0.000499295,74.25937711,62.52348984,59.08828646,41.06329431,556.4130917,4160.252112,131928.598,1657.143098,295.5552499,0,0,0,1,0,1,69.98269597,0
Acrocephalus_schoenobaenus,F,0.000534747,0.000419665,72.32262625,63.24370208,59.08828646,41.06329431,556.4130917,4160.252112,131928.598,1657.143098,295.5552499,0,0,0,1,0,1,69.98269597,0
Acrocephalus_scirpaceus,M,0.000582716,0.000396351,59.18908978,49.26937577,51.82831528,96.26631558,526.5807043,4277.907087,163001.6052,2429.343312,323.295204,0,0,0,1,0,1,73.20840232,1
Acrocephalus_scirpaceus,F,0.000293403,0.000287729,63.24936857,52.31855732,51.82831528,96.26631558,526.5807043,4277.907087,163001.6052,2429.343312,323.295204,0,0,0,1,0,1,73.20840232,1
Acrocephalus_sechellensis,M,0.000558135,0.000375053,61.83026764,48.2487091,-5.608460381,261.0525134,2187.864578,6740.735236,249730.4581,5870.299546,581.34044,0,0,0,0,0,1,4,NA
Acrocephalus_sechellensis,F,0.000697629,0.000473696,68.49920968,55.35658125,-5.608460381,261.0525134,2187.864578,6740.735236,249730.4581,5870.299546,581.34044,0,0,0,0,0,1,4,NA
Acrocephalus_stentoreus,M,0.000287575,0.000264125,56.26068933,47.81176277,37.0817472,167.0142916,640.8593438,3459.167478,203845.1605,4036.763301,1535.863548,0,1,0,1,0,1,99.23194946,0
Acrocephalus_stentoreus,F,0.00029109,0.000239857,51.89723293,41.1460191,37.0817472,167.0142916,640.8593438,3459.167478,203845.1605,4036.763301,1535.863548,0,1,0,1,0,1,99.23194946,0
Acrocephalus_syrinx,M,0.00044386,0.000444813,70.93970945,61.97848716,8.462968191,272.456109,4136.811711,4757.569158,221133.7701,5560.894376,997.0748986,0,1,0,0,0,1,6.285714286,NA
Acrocephalus_syrinx,F,0.000370172,0.000426894,76.99350622,76.4198927,8.462968191,272.456109,4136.811711,4757.569158,221133.7701,5560.894376,997.0748986,0,1,0,0,0,1,6.285714286,NA
Acrocephalus_taiti,M,0.000230299,0.000185831,60,38,-30.10846038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_taiti,F,0.000489605,0.000379812,60,37,-30.10846038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_tangorum,M,0.00058093,0.000609916,77.9203658,65.3110144,55.44645291,-8.711619682,571.4455805,3620.069446,156489.4116,1736.725369,626.1399194,0,0,0,1,0,1,88.99421965,NA
Acrocephalus_tangorum,F,0.000431182,0.000404338,73.59296857,62.7015361,55.44645291,-8.711619682,571.4455805,3620.069446,156489.4116,1736.725369,626.1399194,0,0,0,1,0,1,88.99421965,NA
Acrocephalus_vaughani,M,0.000265534,0.000275707,55,51,-31.10846038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_vaughani,F,0.000382353,0.000284305,67.29269733,53.34461567,-31.10846038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropternis_orthonyx,M,0.000512177,0.000565512,86.87973871,78.24707975,2.735576317,176.6240039,1841.671853,10366.39582,181822.2632,5979.652867,31495.81886,0,1,0,0,0,1,305.1743119,NA
