id,lat,lon,perc_forest
511,-1.0656,133.7859,100
512,-5.962,143.067,58
514,-6.0967,143.1045,100
515,-4.1337,138.7087,18
516,-4.1299,138.7137,90.25
517,-4.1081,138.7214,100
518,-4.1081,138.7214,100
519,-4.1081,138.7214,100
520,28.531,30.673,4.3
521,18.7616,98.9303,22
522,15.6093,73.8964,44.375
523,1.4238,103.8773,34.4285714285714
524,-18.052,178.439,82.8
525,0.1502,6.5823,100
526,0.1502,6.5823,100
528,0.789,-78.135,100
529,8.6167,-80.1167,73
530,-3.232,-79.281,61.1111111111111
531,16.87,-93.12,84.6666666666667
532,-3.9501,-79.5001,28.4444444444444
533,-27.2624,-54.1894,60.875
534,-24.1029,-52.3171,100
535,-23.58333,-48.38333,30.1
536,-26.3834,-55.6834,100
537,-27.234,-52.588,98.7777777777778
538,1.795556,-76.35139,100
539,16.1,-91.9,67.6666666666667
540,-1.582,-80.712,86.875
541,14.8847,-89.0389,78
542,13.7014,-89.2767,86
543,-2.5727778,138.7172222,89.75
544,-1.0656,133.7859,100
545,-1.0656,133.7859,100
546,-1.237,36.8278,96.375
547,-22.4032,31.2009,21.5
548,-33.594,26.8969,4.55555555555556
549,-18.432731,21.905753,72.7777777777778
550,-18.121929,21.581156,30.7777777777778
551,-16.8781,-56.8419,80.75
552,-26.1667,-58.9334,11.6666666666667
553,-34.6081,-58.3509,0.75813953488372
554,-26.31050375,-58.8004929371501,51.7777777777778
555,-33.6738454,-54.2078542,0
556,-3.06,-60.11,42.8571428571429
557,-1.7874,-77.8326,60.5
558,-13.1666666667,-71.5,97.5555555555556
559,-11.0192,-66.0987,61.3
560,7.4334,-69.3167,3.22222222222222
561,48.5828,-102.4489,0
562,48.5048,-106.5625,0
563,45.8627,-102.6377,0
564,49.0931,-110.4482,0
565,40.9454,-105.0347,0
566,44.03608,-97.12534,0
567,44.707,-93.329,54.3
568,41.8217,-88.0513,93.2727272727273
569,42.7063,-83.4912,88.6
570,39.557,-79.679,15.1
571,4.6197,-75.851,46.5
572,-12.3173,-69.1714,13.2222222222222
573,-11.0362,-65.7375,11.6
574,-30.903,-62.652,0
576,47.0937,-70.5298,1.6
577,51.6985,-103.2351,12.4166666666667
578,51.2818,-114.5384,0
579,48.5982,-102.4547,0
580,52.7601,-119.1593,56.8333333333333
581,25.428,-80.772,0
582,28.312652,-82.714717,65.9
583,39.257,-75.125,8.44444444444445
584,29.771,-93.131,10.5555555555556
585,41.34,-71.876,61.2222222222222
586,46.603,-93.291,16
587,51.8042,-103.4003,4.8
588,51.2818,-114.5384,0
589,48.5982,-102.4547,0
590,43.565,-70.362,5.1
591,40.0622,-105.1406,0
