Species	Class	Habitat breadth (Within-class co-occurrence index; multiplicative beta)	Habitat breadth (co-occurrence among species from all four classes; multiplicative beta)	Habitat breadth (Within-class co-occurrence index; additive beta)	Habitat breadth (co-occurrence among species from all four classes; additive beta)	Number-habitat-classes	Total-number-IUCN-habitat-categories
Paralaudakia-erythrogaster	REPTILIA	2.422641509	2.569098562	503.6666667	2983.333333	2	3
Paralaudakia-lehmanni	REPTILIA	0.998130841	0.999388005	0	0	0	1
Paralaudakia-microlepis	REPTILIA	2.917960089	2.886856733	866	5262.5	3	4
Pararhadinaea-melanogaster	REPTILIA	1.758301579	1.697798345	697.5	4977	1	2
Parastenophis-betsileanus	REPTILIA	1.732950467	1.630444219	511.5	4358	1	2
Paratapinophis-praemaxillaris	REPTILIA	1.925619835	1.772545613	449	4447	2	2
Pareas-boulengeri	REPTILIA	1.796387521	1.815164962	243.5	2113.5	2	2
Pareas-carinatus	REPTILIA	2.574127907	2.459344957	1084	8957	3	4
Pareas-formosensis	REPTILIA	2.916527546	2.653310105	1149	9491	3	4
Pareas-hamptoni	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pareas-margaritophorus	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pareas-nuchalis	REPTILIA	1.942616034	1.830064225	559.5	4783	1	2
Parias-hageni	REPTILIA	0.999125874	0.999904086	0	0	1	1
Parias-malcolmi	REPTILIA	0.998704663	0.999873801	0	0	1	1
Parias-sumatranus	REPTILIA	1.701550388	1.675788532	544	4532.5	2	2
Paroedura-androyensis	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Paroedura-bastardi	REPTILIA	2.490639122	2.640803466	770.6666667	4167	2	3
Paroedura-gracilis	REPTILIA	1.701550388	1.675788532	544	4532.5	2	2
Paroedura-homalorhina	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Paroedura-ibityensis	REPTILIA	1.947019868	1.875857091	287	1214.5	1	2
Paroedura-karstophila	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Paroedura-lohatsara	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Paroedura-maingoka	REPTILIA	2.273736813	2.350659426	765.6666667	4063.333333	2	3
Paroedura-masobe	REPTILIA	0.999125874	0.999904086	0	0	1	1
Paroedura-oviceps	REPTILIA	3.406085193	3.306499306	1483.75	9556.25	2	4
Paroedura-picta	REPTILIA	1.633491311	1.620787657	402	2294.5	2	2
Paroedura-sanctijohannis	REPTILIA	2.665781613	2.485876604	1255.75	9351.25	2	4
Paroedura-stumpffi	REPTILIA	2.33601071	2.208905897	999	6951	2	3
Paroedura-tanjaka	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Paroedura-vahiny	REPTILIA	0.998556999	0.999739312	0	0	1	1
Paroedura-vazimba	REPTILIA	0.998556999	0.999739312	0	0	1	1
Parvilacerta-fraasii	REPTILIA	0.998130841	0.999388005	0	0	0	1
Parvilacerta-parva	REPTILIA	3.054499366	3.406195521	649.4	3589.6	2	5
Parvoscincus-sisoni	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pedioplanis-gaerdesi	REPTILIA	0.996402878	0.998583569	0	0	1	1
Pedioplanis-laticeps	REPTILIA	1.661574618	1.792909134	282.5	1689.5	2	2
Pelamis-platura	REPTILIA	1	1.175412294	1	59.5	1	2
Peltopelor-macrolepis	REPTILIA	1.74829932	1.769914749	441	4200.5	2	2
Pelusios-broadleyi	REPTILIA	0.988888889	0.999050332	0	0	1	1
Perochirus-ateles	REPTILIA	1.977682403	1.992577084	570.5	5216	1	2
Perochirus-scutellatus	REPTILIA	1.977682403	1.992577084	570.5	5216	1	2
Petrosaurus-mearnsi	REPTILIA	3.363484087	3.965867534	706.5	3650.5	3	6
Petrosaurus-repens	REPTILIA	0.998130841	0.999388005	0	0	0	1
Petrosaurus-slevini	REPTILIA	1.768757688	1.831623932	313.5	974	1	2
Petrosaurus-thalassinus	REPTILIA	1.731818182	1.842480925	323	1712.5	1	2
Phalotris-lemniscatus	REPTILIA	1.956081081	1.938202247	567	5345	2	2
Phalotris-tricolor	REPTILIA	2.576535289	2.396971609	574.3333333	3691.333333	2	3
Phelsuma-abbotti	REPTILIA	4.720668595	4.331444995	1654.571429	11426.42857	3	7
Phelsuma-antanosy	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-astriata	REPTILIA	4.675155784	4.204702248	1696.625	11672.125	4	8
Phelsuma-barbouri	REPTILIA	1.915134371	1.903520805	324.5	1977	1	2
Phelsuma-berghofi	REPTILIA	3.646730867	3.388031915	1045.4	8980	2	5
Phelsuma-breviceps	REPTILIA	1.911179173	1.973570658	298.5	1806	2	2
Phelsuma-cepediana	REPTILIA	1.770700637	1.753871681	364	2727	1	2
Phelsuma-comorensis	REPTILIA	1.714285714	1.72927242	213.5	1725	2	2
Phelsuma-dorsivittata	REPTILIA	3.358778626	3.035095073	1237	10682.4	3	5
Phelsuma-flavigularis	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-grandis	REPTILIA	2.877263581	2.684636119	934	7813.5	3	4
Phelsuma-guttata	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-hielscheri	REPTILIA	3.293556086	2.910671773	721.75	4615.75	4	4
Phelsuma-klemmeri	REPTILIA	2.362895494	2.166326877	948.6666667	6866	1	3
Phelsuma-kochi	REPTILIA	2.334934798	2.232917214	649.3333333	3754	3	3
Phelsuma-laticauda	REPTILIA	4.991034836	4.43119616	1732.222222	11994.55556	4	9
Phelsuma-lineata	REPTILIA	3.546184739	3.448548813	635	5569	4	6
Phelsuma-madagascariensis	REPTILIA	3.633151301	3.290050393	1367.166667	9771.5	3	6
Phelsuma-malamakibo	REPTILIA	2.341057935	2.206547955	888.3333333	7838.333333	2	3
Phelsuma-masohoala	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-modesta	REPTILIA	2.392190153	2.350929658	821	6927.666667	2	3
Phelsuma-mutabilis	REPTILIA	2.917127072	2.551886792	781.75	4607	4	4
Phelsuma-nigristriata	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-parva	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-pasteuri	REPTILIA	2.495327103	2.366014418	801	6633	2	3
Phelsuma-pronki	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-pusilla	REPTILIA	3.328888889	3.145706895	1049	8627.6	3	5
Phelsuma-quadriocellata	REPTILIA	3.148760331	2.965124294	1041	8554.4	3	5
Phelsuma-ravenala	REPTILIA	2.718061674	2.734086242	391	3379	2	4
Phelsuma-robertmertensi	REPTILIA	3.08766928	2.868701082	733.25	5313.25	2	4
Phelsuma-roesleri	REPTILIA	0.998556999	0.999739312	0	0	1	1
Phelsuma-seippi	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phelsuma-serraticauda	REPTILIA	1.957647059	1.970003261	204.5	1488.5	1	2
Phelsuma-standingi	REPTILIA	1.633491311	1.620787657	402	2294.5	2	2
Phelsuma-sundbergi	REPTILIA	4.07519825	3.808997319	1607.571429	12123.42857	3	7
Phelsuma-vanheygeni	REPTILIA	1.758301579	1.697798345	697.5	4977	1	2
Phelsuma-v-nigra	REPTILIA	3.567128847	3.24345796	1266.166667	10731.83333	4	6
Philochortus-neumanni	REPTILIA	2.31372549	2.220349009	671	4127	3	3
Philochortus-zolii	REPTILIA	1.954372624	1.966055046	126.5	1054	2	2
Philodryas-argenteus	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Philodryas-livida	REPTILIA	1.658097686	1.580319442	257	1581.5	2	2
Philodryas-psammophidea	REPTILIA	3.457627119	3.196247655	363.5	2927.5	1	4
Philodryas-tachymenoides	REPTILIA	1.817805383	1.817692308	198.5	1064	1	2
Philodryas-varia	REPTILIA	3.64940239	3.373333333	333.5	3383	2	4
Philothamnus-irregularis	REPTILIA	4.754500818	4.646046512	656.4285714	5600.285714	4	7
Phisalixella-arctifasciata	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phisalixella-tulearensis	REPTILIA	0.998556999	0.999739312	0	0	1	1
Phisalixella-variabilis	REPTILIA	0.998556999	0.999739312	0	0	1	1
Phoboscincus-bocourti	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phoboscincus-garnieri	REPTILIA	3.785476349	3.60640902	1394.666667	11713.33333	4	6
Phoenicolacerta-cyanisparsa	REPTILIA	2.773211568	2.914779745	583.5	3489.25	2	4
Phoenicolacerta-kulzeri	REPTILIA	0.998130841	0.999388005	0	0	0	1
Phoenicolacerta-laevis	REPTILIA	3.81002004	4.110531607	1002.571429	7072.571429	4	7
Phoenicolacerta-troodica	REPTILIA	2.899408284	3.026968129	643	3721.5	2	4
Phrynocephalus-arabicus	REPTILIA	1.661574618	1.792909134	282.5	1689.5	2	2
Phrynocephalus-axillaris	REPTILIA	0.991666667	0.997375328	0	0	1	1
Phrynocephalus-golubewii	REPTILIA	0.996402878	0.998583569	0	0	1	1
Phrynocephalus-helioscopus	REPTILIA	1.661574618	1.792909134	282.5	1689.5	2	2
Phrynocephalus-horvathi	REPTILIA	1.948339483	1.924855491	258	1601	1	2
Phrynocephalus-luteoguttatus	REPTILIA	0.996402878	0.998583569	0	0	1	1
Phrynocephalus-melanurus	REPTILIA	1.971830986	1.947895792	104.5	710.5	1	2
Phrynocephalus-ornatus	REPTILIA	0.996402878	0.998583569	0	0	1	1
Phrynocephalus-persicus	REPTILIA	2.196022727	2.206240858	422	2475	2	3
Phrynocephalus-przewalskii	REPTILIA	0.991666667	0.997375328	0	0	1	1
Phrynocephalus-strauchi	REPTILIA	1.912037037	2.127685325	198	1243.333333	2	3
Phrynocephalus-theobaldi	REPTILIA	1.912037037	2.127685325	198	1243.333333	2	3
Phrynocephalus-versicolor	REPTILIA	1.912037037	2.127685325	198	1243.333333	2	3
Phrynocephalus-vlangalii	REPTILIA	1.912037037	2.127685325	198	1243.333333	2	3
Phrynosoma-asio	REPTILIA	3.283283283	3.128660945	913.4	6251.6	3	5
Phrynosoma-braconnieri	REPTILIA	4.130815914	4.175183146	1548.666667	11631.16667	3	6
Phrynosoma-cornutum	REPTILIA	2.332784185	2.587351779	270.6666667	1339.666667	1	3
Phrynosoma-coronatum	REPTILIA	3.129010239	3.619855395	520.8333333	3141.333333	3	6
Phrynosoma-douglasii	REPTILIA	2.13897281	2.518311824	283.75	2177.5	3	4
Phrynosoma-hernandesi	REPTILIA	3.742749054	4.421432872	933.1428571	5684	3	7
Phrynosoma-mcallii	REPTILIA	2.305128205	2.548954704	510	2964.666667	2	3
Phrynosoma-modestum	REPTILIA	2.332784185	2.587351779	270.6666667	1339.666667	1	3
Phrynosoma-orbiculare	REPTILIA	3.505247919	3.514795794	1385.4	10284	3	5
Phrynosoma-platyrhinos	REPTILIA	2.815503876	3.247181833	586.5	3439.75	2	4
Phrynosoma-solare	REPTILIA	3.367861886	3.894184599	892.5	5425.666667	3	6
Phrynosoma-taurus	REPTILIA	1.929969104	1.946719507	452.5	2151	2	2
Phyllodactylus-bordai	REPTILIA	3.567176871	3.46250642	1208.6	9590	3	5
Phyllodactylus-bugastrolepis	REPTILIA	2.31360424	2.577597488	496.6666667	2010.333333	2	3
Phyllodactylus-davisi	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Phyllodactylus-delcampoi	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Phyllodactylus-duellmani	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Phyllodactylus-homolepidurus	REPTILIA	2.817891374	3.215611614	570	2328.5	2	4
Phyllodactylus-inaequalis	REPTILIA	2.196022727	2.206240858	422	2475	2	3
Phyllodactylus-interandinus	REPTILIA	0.998556999	0.999739312	0	0	1	1
Phyllodactylus-lanei	REPTILIA	3.059445178	2.844643204	780.5	4744.5	3	4
Phyllodactylus-muralis	REPTILIA	3.1234129	2.945363475	837.2	5904.4	3	5
Phyllodactylus-partidus	REPTILIA	1.768757688	1.831623932	313.5	974	1	2
Phyllodactylus-reissii	REPTILIA	2.42231405	2.253810624	574.6666667	3620.333333	3	3
Phyllodactylus-tuberculosus	REPTILIA	4.001456028	3.700317163	1473.428571	10704.28571	3	7
Phyllodactylus-unctus	REPTILIA	2.994505495	3.327453142	727	4223	1	4
Phyllodactylus-xanti	REPTILIA	3.345687332	3.812745526	697.2	3867.4	2	5
Phyllorhynchus-browni	REPTILIA	2.850961538	3.022652194	771	4287	3	4
Phyllorhynchus-decurtatus	REPTILIA	1.608040201	1.758969641	122	413.5	1	2
Phyllurus-gulbaru	REPTILIA	0.999125874	0.999904086	0	0	1	1
Phyllurus-ossa	REPTILIA	1.954734961	1.96053068	802.5	5793	1	2
Phymaturus-palluma	REPTILIA	2.543859649	2.729186603	441	1808	1	3
Pituophis-catenifer	REPTILIA	7.859197402	7.413505214	1740.411765	11795.05882	5	17
Pituophis-deppei	REPTILIA	3.816438356	3.704423373	1029	9650.833333	3	6
Pituophis-insulanus	REPTILIA	2.184834123	2.433052793	251	1249.666667	2	3
Pituophis-lineaticollis	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pituophis-melanoleucus	REPTILIA	0.997101449	0.999588308	0	0	1	1
Pituophis-ruthveni	REPTILIA	0.997101449	0.999588308	0	0	1	1
Pituophis-vertebralis	REPTILIA	1.617312073	1.773361976	136.5	721	2	2
Plagiopholis-blakewayi	REPTILIA	0.998704663	0.999873801	0	0	1	1
Plagiopholis-nuchalis	REPTILIA	0.999125874	0.999904086	0	0	1	1
Plagiopholis-styani	REPTILIA	2.885479042	2.868716736	840.6666667	6321	1	3
Platyceps-collaris	REPTILIA	3.474418605	3.628476085	887.6666667	5908.5	3	6
Platyceps-elegantissimus	REPTILIA	1.661574618	1.792909134	282.5	1689.5	2	2
Platyceps-florulentus	REPTILIA	3.718546132	3.485419925	584.4	5404.8	2	5
Platyceps-najadum	REPTILIA	4.783737024	4.915022293	1313.2	8869.7	4	10
Platyceps-rogersi	REPTILIA	3.277310924	3.430729594	814	4152.2	2	5
Platyceps-sinai	REPTILIA	0.998254799	0.999718548	0	0	1	1
Platyceps-variabilis	REPTILIA	0.998130841	0.999388005	0	0	0	1
Platyplectrurus-madurensis	REPTILIA	2.291044776	2.322758816	693	6227.666667	3	3
Platysaurus-imperator	REPTILIA	0.992647059	0.99902629	0	0	1	1
Platysaurus-intermedius	REPTILIA	1.597402597	1.745686222	93	1405.5	1	2
Platysaurus-pungweensis	REPTILIA	0.992647059	0.99902629	0	0	1	1
Platysaurus-torquatus	REPTILIA	0.992647059	0.99902629	0	0	1	1
Plectrurus-perroteti	REPTILIA	1.931034483	1.876393334	392.5	3971.5	2	2
Plestiodon-anthracinus	REPTILIA	3.034550196	3.354324565	625.2	4225.6	4	5
Plestiodon-brevirostris	REPTILIA	0.998556999	0.999739312	0	0	1	1
Plestiodon-callicephalus	REPTILIA	3.996292864	4.351057199	1617.5	11649.83333	2	6
Plestiodon-copei	REPTILIA	1.848534202	1.923583181	522	2527	1	2
Plestiodon-dugesii	REPTILIA	0.997101449	0.999588308	0	0	1	1
Plestiodon-egregius	REPTILIA	3.654360621	3.746625877	993.2	6106.2	4	5
Plestiodon-fasciatus	REPTILIA	2.52584493	2.646329365	512.6666667	3320	2	3
Plestiodon-gilberti	REPTILIA	4.470933647	4.239624684	986.1666667	5985.666667	3	6
Plestiodon-inexpectatus	REPTILIA	2.714898835	3.054927487	700.25	4499.75	3	4
Plestiodon-lagunensis	REPTILIA	1.865125241	1.851556265	450	2668.5	1	2
Plestiodon-laticeps	REPTILIA	2.564784053	2.555526419	472	3955.666667	3	3
Plestiodon-longirostris	REPTILIA	0.994923858	0.999550562	0	0	1	1
Plestiodon-lynxe	REPTILIA	0.997101449	0.999588308	0	0	1	1
Plestiodon-multivirgatus	REPTILIA	3.42408377	3.957879315	849.8333333	5384.833333	3	6
Plestiodon-obsoletus	REPTILIA	3.288659794	3.789075176	667	5158	4	6
Plestiodon-ochoterenae	REPTILIA	1.823890785	1.812244898	604.5	4777	1	2
Plestiodon-septentrionalis	REPTILIA	2.091428571	2.324140223	319.3333333	2657.666667	2	3
Plestiodon-skiltonianus	REPTILIA	2.743445693	3.10957488	559.6	3266.2	3	5
Plestiodon-sumichrasti	REPTILIA	2.362895494	2.166326877	948.6666667	6866	1	3
Plestiodon-tetragrammus	REPTILIA	4.823943662	4.786037858	1412.8	9361.6	4	10
Plica-lumaria	REPTILIA	0.998130841	0.999388005	0	0	0	1
Pliocercus-bicolor	REPTILIA	1.74829932	1.769914749	441	4200.5	2	2
Pliocercus-elapoides	REPTILIA	2.692792162	2.419201001	1210.5	9077.5	1	4
Pliocercus-euryzonus	REPTILIA	2.322432294	2.144399877	863.6666667	7419	1	3
Podarcis-bocagei	REPTILIA	2.984469953	3.276668746	588.8	4380.4	3	5
Podarcis-carbonelli	REPTILIA	1.938823529	1.980650155	200.5	1268	2	2
Podarcis-cretensis	REPTILIA	1.722908093	1.845766974	264.5	1010	1	2
Podarcis-erhardii	REPTILIA	2.899408284	3.026968129	643	3721.5	2	4
Podarcis-filfolensis	REPTILIA	3.172966781	3.338571429	759.8	4912	3	5
Podarcis-gaigeae	REPTILIA	1.722908093	1.845766974	264.5	1010	1	2
Podarcis-hispanicus	REPTILIA	3.732135216	4.188297634	913.1428571	6103.857143	4	7
Podarcis-levendis	REPTILIA	1.722908093	1.845766974	264.5	1010	1	2
Podarcis-lilfordi	REPTILIA	2.24301676	2.516510903	446	2435	2	3
Podarcis-melisellensis	REPTILIA	2.744086022	3.162309681	609.25	3764.5	3	4
Podarcis-milensis	REPTILIA	3.820512821	3.909010813	881	6054.166667	4	6
Podarcis-muralis	REPTILIA	4.471064095	4.824838443	1116.6	7872.9	4	10
Podarcis-peloponnesiacus	REPTILIA	3.474418605	3.628476085	887.6666667	5908.5	3	6
Podarcis-pityusensis	REPTILIA	4.105263158	4.273146209	1033.5	6837.375	3	8
Podarcis-raffonei	REPTILIA	1.722908093	1.845766974	264.5	1010	1	2
Podarcis-siculus	REPTILIA	4.471064095	4.824838443	1116.6	7872.9	4	10
Podarcis-tauricus	REPTILIA	3.236842105	3.449074771	681	5427.333333	3	6
Podarcis-tiliguerta	REPTILIA	3.922107675	4.39084085	957.625	6720.375	4	8
Podarcis-vaucheri	REPTILIA	3.576808722	3.903171673	867.6666667	5767.666667	4	6
Podarcis-waglerianus	REPTILIA	3.432821497	3.870947324	725.2857143	5832.714286	4	7
Podocnemis-lewyana	REPTILIA	0.994897959	0.999721138	0	0	1	1
Pogona-barbata	REPTILIA	3.916759985	3.575339603	1117.285714	7042.714286	4	7
Polemon-acanthias	REPTILIA	0.999125874	0.999904086	0	0	1	1
Polemon-barthii	REPTILIA	0.999125874	0.999904086	0	0	1	1
Polemon-neuwiedi	REPTILIA	1.8984375	1.909194098	576	5207.5	2	2
Popeia-barati	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Popeia-buniana	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Popeia-fucata	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Popeia-nebularis	REPTILIA	0.998704663	0.999873801	0	0	1	1
Popeia-popeiorum	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Popeia-sabahi	REPTILIA	0.998704663	0.999873801	0	0	1	1
Popeia-toba	REPTILIA	0.998704663	0.999873801	0	0	1	1
Porthidium-dunni	REPTILIA	0.998556999	0.999739312	0	0	1	1
Porthidium-nasutum	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Porthidium-yucatanicum	REPTILIA	1.770700637	1.753871681	364	2727	1	2
Potamites-apodemus	REPTILIA	0.999125874	0.999904086	0	0	1	1
Potamites-cochranae	REPTILIA	0.998704663	0.999873801	0	0	1	1
Prasinohaema-flavipes	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Prasinohaema-prehensicauda	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pristidactylus-torquatus	REPTILIA	0.997101449	0.999588308	0	0	1	1
Pristurus-abdelkuri	REPTILIA	1.940594059	1.945823928	48.5	210.5	1	2
Pristurus-carteri	REPTILIA	0.996402878	0.998583569	0	0	1	1
Pristurus-celerrimus	REPTILIA	0.998130841	0.999388005	0	0	0	1
Pristurus-collaris	REPTILIA	0.994186047	0.999635036	0	0	1	1
Pristurus-gallagheri	REPTILIA	1.97133758	1.850272099	306	2891.5	2	2
Pristurus-guichardi	REPTILIA	2.347904192	2.262001157	751.3333333	4365	3	3
Pristurus-insignis	REPTILIA	2.505952381	2.581497797	760	4309	2	3
Pristurus-insignoides	REPTILIA	0.997101449	0.999588308	0	0	1	1
Pristurus-minimus	REPTILIA	0.998254799	0.999718548	0	0	1	1
Pristurus-obsti	REPTILIA	2.610972569	2.248287901	431.6666667	3099.666667	3	3
Pristurus-ornithocephalus	REPTILIA	0.996402878	0.998583569	0	0	1	1
Pristurus-popovi	REPTILIA	1.934819897	1.892444738	273.5	1353.5	1	2
Pristurus-rupestris	REPTILIA	2.9048583	2.866643085	942	5278	4	4
Pristurus-samhaensis	REPTILIA	0.998130841	0.999388005	0	0	0	1
Pristurus-schneideri	REPTILIA	0.952380952	0.996527778	0	0	1	1
Pristurus-sokotranus	REPTILIA	4.111951589	3.837551772	1029.5	6167	4	6
Proablepharus-reginae	REPTILIA	2.25388601	2.310315009	646.3333333	3536.666667	3	3
Prosymna-ambigua	REPTILIA	4.847412354	4.342208497	1647.142857	11441.85714	4	7
Prosymna-angolensis	REPTILIA	0.994186047	0.999635036	0	0	1	1
Prosymna-janii	REPTILIA	2.523996082	2.462800198	1038.333333	7878.666667	2	3
Prosymna-meleagris	REPTILIA	1.8984375	1.909194098	576	5207.5	2	2
Prosymna-ornatissima	REPTILIA	0.998556999	0.999739312	0	0	1	1
Protobothrops-cornutus	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Protobothrops-jerdonii	REPTILIA	2.891707317	2.679803834	647.3333333	6280.666667	3	3
Protobothrops-mangshanensis	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Protobothrops-mucrosquamatus	REPTILIA	4.106225512	3.941668992	1190.166667	10541	4	6
Protobothrops-trungkhanhensis	REPTILIA	0.999125874	0.999904086	0	0	1	1
Protobothrops-xiangchengensis	REPTILIA	1.824875622	1.742240615	415.5	2512	2	2
Psammodromus-algirus	REPTILIA	3.23877551	3.52605042	732.3333333	6013	4	6
Psammodromus-blanci	REPTILIA	2.004060914	2.233283804	330.6666667	2491	3	3
Psammodromus-hispanicus	REPTILIA	2.971830986	3.148705015	561	4431.2	3	5
Psammodromus-jeanneae	REPTILIA	2.432956381	2.649280576	296.6666667	1835	3	3
Psammodromus-manuelae	REPTILIA	2.432956381	2.649280576	296.6666667	1835	3	3
Psammodromus-microdactylus	REPTILIA	1.727047146	1.819589977	147.5	900.5	2	2
Psammophilus-blanfordanus	REPTILIA	2.438202247	2.413428281	897	6948	2	3
Psammophilus-dorsalis	REPTILIA	2.807039598	2.623567349	1438.5	10448.25	2	4
Psammophis-condanarus	REPTILIA	4.057217165	3.734202852	1568.333333	11251.33333	3	6
Psammophis-indochinensis	REPTILIA	3.172413793	2.745901639	725.5	4900	2	4
Psammophis-longifrons	REPTILIA	0.998556999	0.999739312	0	0	1	1
Psammophis-subtaeniatus	REPTILIA	2.41640625	2.267692696	605.3333333	3350.666667	2	3
Psammophylax-tritaeniatus	REPTILIA	5.151095732	4.46583792	515.1428571	5218.571429	3	7
Pseudalsophis-elegans	REPTILIA	1.888268156	1.923344948	160	398.5	2	2
Pseudelaphe-flavirufa	REPTILIA	1.758301579	1.697798345	697.5	4977	1	2
Pseudemoia-pagenstecheri	REPTILIA	0.995215311	0.999306999	0	0	1	1
Pseudemys-alabamensis	REPTILIA	2.665289256	2.811665843	135.3333333	2444.333333	2	3
Pseudemys-concinna	REPTILIA	3.149100257	3.825146628	168.2	3083.8	2	5
Pseudemys-gorzugi	REPTILIA	1.454545455	1.70338435	66	1632.5	1	2
Pseudemys-nelsoni	REPTILIA	3.366412214	4.819349147	207.6666667	4330.444444	1	9
Pseudemys-peninsularis	REPTILIA	3.668789809	5.124432768	187.2222222	3838.555556	2	9
Pseudemys-rubriventris	REPTILIA	2.725225225	3.418413174	154.2	3232	2	5
Pseudemys-texana	REPTILIA	2.430555556	3.361412247	145.2	3224.8	1	5
Pseudoacontias-angelorum	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pseudoacontias-menamainty	REPTILIA	0.998556999	0.999739312	0	0	1	1
Pseudoacontias-unicolor	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudoboa-haasi	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pseudocalotes-brevipes	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pseudoceramodactylus-khobarensis	REPTILIA	1.974736842	1.975435005	232.5	1430.5	2	2
Pseudocerastes-fieldi	REPTILIA	2.497881356	2.667409809	472.3333333	2743.333333	3	3
Pseudocerastes-persicus	REPTILIA	2.255411255	2.505684711	581	2958.666667	2	3
Pseudoeryx-plicatilis	REPTILIA	2.729937195	2.55246136	827.3333333	7601.333333	2	3
Pseudoficimia-frontalis	REPTILIA	0.998556999	0.999739312	0	0	1	1
Pseudogekko-brevipes	REPTILIA	2.146420323	1.958153224	828.3333333	6946.333333	1	3
Pseudogekko-compressicorpus	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudogekko-labialis	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pseudogekko-smaragdinus	REPTILIA	2.216666667	2.188282002	804	6585.666667	3	3
Pseudohaje-nigra	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudoleptodeira-latifasciata	REPTILIA	0.998556999	0.999739312	0	0	1	1
Pseudorabdion-ater	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pseudorabdion-collaris	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudorabdion-eiselti	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudorabdion-longiceps	REPTILIA	2.851043183	2.697817085	954.75	8303.75	2	4
Pseudorabdion-mcnamarae	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pseudorabdion-montanum	REPTILIA	1.575156576	1.503215259	552	4618	1	2
Pseudorabdion-oxycephalum	REPTILIA	1.732950467	1.630444219	511.5	4358	1	2
Pseudorabdion-saravacense	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudorabdion-talonuran	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pseudoxenodon-bambusicola	REPTILIA	2.332386364	2.070295405	939	7827	2	3
Pseudoxenodon-inornatus	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pseudoxenodon-macrops	REPTILIA	1.823890785	1.812244898	604.5	4777	1	2
Pseudoxyrhopus-ambreensis	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudoxyrhopus-analabe	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudoxyrhopus-ankafinaensis	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pseudoxyrhopus-heterurus	REPTILIA	1.764354959	1.748794562	513.5	4737.5	2	2
Pseudoxyrhopus-imerinae	REPTILIA	0.998704663	0.999873801	0	0	1	1
Pseudoxyrhopus-kely	REPTILIA	1.758301579	1.697798345	697.5	4977	1	2
Pseudoxyrhopus-microps	REPTILIA	2.482196741	2.320402992	819.6666667	7296.666667	2	3
Pseudoxyrhopus-oblectator	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudoxyrhopus-quinquelineatus	REPTILIA	2.40746888	2.326410328	1131.666667	7877.666667	2	3
Pseudoxyrhopus-sokosoko	REPTILIA	0.999125874	0.999904086	0	0	1	1
Pseudoxyrhopus-tritaeniatus	REPTILIA	0.999125874	0.999904086	0	0	1	1
